Research ID,Batch ID,Medical Marijuana Center,Medical Marijuana Cultivation License,MM Manufacturer's,Manufacturer's License,Retail Marijuana Cultivation License,Retail Store,Retail Products Manufacturing
CO424171,2015-03-21-Drying Room-H,402-00242,403-00365,,,,,
CO424171,2015-05-08-Drying Room-H,402-00242,403-00365,,,,,
CO424171,2016-01-11-Drying Room-H,402-00242,403-00365,,,,,
CO424171,707-082615-8,402-00242,403-00365,,,,,
CO424171,707HB-062815-5,402-00242,403-00365,,,,,
CO424171,707HB-071315-10,402-00242,403-00365,,,,,
CO424171,707HB-071315-10,402-00242,403-00365,,,,,
CO424171,707HB-102315-6,402-00242,403-00365,,,,,
CO424171,707HB-111815-1,402-00242,403-00365,,,,,
CO424171,707HB-112915-1,402-00242,403-00365,,,,,
CO424171,707HB-120815-1,402-00242,403-00365,,,,,
CO424171,AK48-071115-2,402-00242,403-00365,,,,,
CO424171,AK48s2-092115-10,402-00242,403-00365,,,,,
CO424171,AMSD-081415-1,402-00242,403-00365,,,,,
CO424171,AmSourD-060515-4,402-00242,403-00365,,,,,
CO424171,BanK-100415-1,402-00242,403-00365,,,,,
CO424171,Bay11-060915-2,402-00242,403-00365,,,,,
CO424171,BdTah-111815-2LiveResin,402-00242,403-00365,,,,,
CO424171,BdTah-112715-2 HASHED,402-00242,403-00365,,,,,
CO424171,BdTh-013016-5,402-00242,403-00365,,,,,
CO424171,Bianca-091215-4,402-00242,403-00365,,,,,
CO424171,BiancaS1-060515-1,402-00242,403-00365,,,,,
CO424171,BiancaS1-111815-2,402-00242,403-00365,,,,,
CO424171,BK-112715-5,402-00242,403-00365,,,,,
CO424171,BlMn-050615-1HASHED,402-00242,403-00365,,,,,
CO424171,BluBld-060515-4,402-00242,403-00365,,,,,
CO424171,BluBlood-060915-1 (HASH),402-00242,403-00365,,,,,
CO424171,BluBlood-061115-4,402-00242,403-00365,,,,,
CO424171,BluBlood-061315-3,402-00242,403-00365,,,,,
CO424171,BluBlud-102315-9,402-00242,403-00365,,,,,
CO424171,BludBld(LiveResin)-062515-1,402-00242,403-00365,,,,,
CO424171,BLUEBLD-072215-6,402-00242,403-00365,,,,,
CO424171,blueblood-072315-18,402-00242,403-00365,,,,,
CO424171,BlueBlood-101415-4,402-00242,403-00365,,,,,
CO424171,BlueBloodHash-101415-1,402-00242,403-00365,,,,,
CO424171,BLWD-120815-1,402-00242,403-00365,,,,,
CO424171,BMOG-060515-1HASH,402-00242,403-00365,,,,,
CO424171,BMOG-060915-1 (live resin),402-00242,403-00365,,,,,
CO424171,BMOG-061315-5,402-00242,403-00365,,,,,
CO424171,BMOG-062415-2,402-00242,403-00365,,,,,
CO424171,BMOG-071415-1,402-00242,403-00365,,,,,
CO424171,BMOG-072215-7,402-00242,403-00365,,,,,
CO424171,BMOG-100415-6,402-00242,403-00365,,,,,
CO424171,Buddha-072315-1,402-00242,403-00365,,,,,
CO424171,BudTah-061115-6,402-00242,403-00365,,,,,
CO424171,BudTah-062315-7,402-00242,403-00365,,,,,
CO424171,BudTah-071315-1,402-00242,403-00365,,,,,
CO424171,BudTah-071615-5,402-00242,403-00365,,,,,
CO424171,BUDTAH-072215-1,402-00242,403-00365,,,,,
CO424171,BuTa-120815-1,402-00242,403-00365,,,,,
CO424171,CandyChz-060515-1,402-00242,403-00365,,,,,
CO424171,CanHz-012816-8,402-00242,403-00365,,,,,
