Reason,Category,Tight Cat
Bifenthrin and Chlorfenapyr,Pesticides,Pesticides
Pyrethrins and Piperonyl butoxide,Pesticides,Pesticides
Abamectin,Pesticides,Pesticides
imidacloprid and myclobutanil,Pesticides,Pesticides
"permethrin, spiromesifen",Pesticides,Pesticides
malathion,Pesticides,Pesticides
Ethephon,Pesticides,Pesticides
unspecified pesticide,Pesticides,Pesticides
Diuron,Pesticides,Pesticides
Bifenthrin and Diuron,Pesticides,Pesticides
Pyriproxyfen,Pesticides,Pesticides
"Myclobutanil, Bifenazate, Avermectin, and Imidacloprid",Pesticides,Pesticides
"Pyrimethanil, Tebuconazole, and Spinosyn",Pesticides,Pesticides
"Imidacloprid, Spiromesifin, Myclobutanil, and Avermectin",Pesticides,Pesticides
Myclobutanil and Spinosyn,Pesticides,Pesticides
Propiconazole,Pesticides,Pesticides
Myclobutanil and Spiromesifin,Pesticides,Pesticides
Myclobutanil,Pesticides,Pesticides
Etoxazole,Pesticides,Pesticides
Azoxystrobin and Imidacloprid,Pesticides,Pesticides
Avermectin,Pesticides,Pesticides
Spiromesifin,Pesticides,Pesticides
Myclobutanil and Avermectin Bla,Pesticides,Pesticides
"Clonex, Root Pac, Big Time Exterminator, Super Thrive",Pesticides,Pesticides
Etoxazole and Imidacloprid,Pesticides,Pesticides
Myclobutanil and Etoxazole,Pesticides,Pesticides
"Myclobutanil and Spinosyn A,",Pesticides,Pesticides
Piperonyl butoxide (Pesticide),Pesticides,Pesticides
Imidacloprid,Pesticides,Pesticides
"Myclobutanil, Avermectin, and Imidacloprid",Pesticides,Pesticides
"Mycobutanil, Spiromefesin and Imidacloprid",Pesticides,Pesticides
Spiromefesin,Pesticides,Pesticides
"Mycobutanil, Spiromefesin and Avermectin",Pesticides,Pesticides
"Imidacloprid, Mycobutanil and Avermectin",Pesticides,Pesticides
Pesticides,Pesticides,Pesticides
Pesticide Contamination (Myclobutanil),Pesticides,Pesticides
Hair and insects,Prohibited Additives / Product,Pesticides
Prohibited Product / Additives,Prohibited Additives / Product,Pesticides
Prohibited Product: THCv from unapproved source,Prohibited Additives / Product,Prohibited Additives / Product
Inaccurate Label,Inaccurate THC,Prohibited Additives / Product
Not Properly Tracked,Not Properly Tracked,Prohibited Additives / Product
Exceeds Maximum Dosage,Inaccurate THC,Inaccurate THC
non-compliant creation and packaging.,Packaging,Not Properly Tracked
were not compliantly produced,Packaging,Inaccurate THC
labeling attractive to Children,Attractive Label,Packaging
Aspergillus niger,Aspergillus,Packaging
Piperonyl butoxide (Pesticide),Pesticides,Attractive Label
Mold,Mold,Aspergillus
Aspergillus ,Aspergillus,Pesticides
"Arsenic, Yeast, and mold",Yeast and Mold,Mold
"Arsenic, Yeast, and mold",Heavy Metal,Aspergillus
Aspergillus,Aspergillus,Yeast and Mold
Cadmium,Heavy Metal,Heavy Metal
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Heavy Metal,Aspergillus
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Yeast and Mold,Heavy Metal
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Aspergillus,Heavy Metal
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Mold,Yeast and Mold
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Microbial,Aspergillus
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Mycotoxins,Mold
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Solvent,Microbial
