Reason,Heavy Metal
Adulterated: Heavy Metal Contamination (Arsenic),Arsenic
Arsenic,Arsenic
Cadmium,Cadmium
Cadmium,Cadmium
"Cadmium, Arsenic",Cadmium
"Cadmium, Arsenic",Arsenic
elemental impurities.,Unspecified Heavy Metals
Lead,Lead
Lead Contamination,Lead
Mercury,Mercury
Mercury,Mercury
"Arsenic, Yeast, and mold",Arsenic
"Aspergillus, Cadmium, Mercury",Cadmium
"Aspergillus, Cadmium, Mercury",Mercury
"chemical residue, microbes, metals, residual solvents, toxins from fungus",Unspecified Heavy Metals
"Lead, Yeast, and mold",Lead
"Mercury, Cadmium, Mold",Mercury
"Mercury, Cadmium, Mold",Cadmium
"Total Yeast and Mold, Arsenic, Cadmium, Lead",Arsenic
"Total Yeast and Mold, Arsenic, Cadmium, Lead",Cadmium
"Total Yeast and Mold, Arsenic, Cadmium, Lead",Lead
"Total Yeast and Mold, cadmium",Cadmium
"Total Yeast and Mold, elemental impurities",Unspecified Heavy Metals
"Yeast and Mold, Microbials, Arsenic",Arsenic
