Date,State,Doc Link,Type,ID,Company / Producer,Cultivator,,Product,Notes
07/29/2019,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Voluntary,43675OhioStandard Wellness,Standard Wellness,,M00000021820,,
,,,,,,,M00000028304,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11/19/2019,Ohio,https://medicalmarijuana.ohio.gov/Documents/PatientsCaregivers/One%20Orijin%20Rosin%20Product.pdf,Mandatory,43788OhioOne Orijin,One Orijin,,,,
12/20/2019,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,43819OhioGalenas,Galenas,Galenas,M00000034992,Purple Bomb,
,,,,,,Galenas,M00000034991:,Purple Bomb,
,,,,,,Galenas,M00000034992,Purple Bomb,
,,,,,,Galenas,M00000034991,Purple Bomb,
,,,,,,Galenas,M00000034985,THE Organic Strawberry University,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
03/13/2019,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,43537OhioPure Ohio Wellness,Pure Ohio Wellness,,,,
03/16/2019,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,43540OhioGTI Ohio,GTI Ohio,,,,
08/12/2021,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,44420OhioBeneleaves Limited,Beneleaves Limited,,,,
10/02/2020,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,44106OhioVerano Brands,Verano Brands,,,,
10/01/2020,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,44105OhioVerano Brands,Verano Brands,,,,
10/13/2021,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,44482OhioCertified Cultivators,Certified Cultivators,,,,
12/06/2021,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Mandatory,44536OhioGalenas,Galenas,,,,
12/06/2021,Ohio,https://medicalmarijuana.ohio.gov/documents/recalls/recall%20notices%20and%20summaries/archived%20recall%20notices/archived%20recall%20notices.pdf,Voluntary,"44536OhioGreen Investment Partners, LLC","Green Investment Partners, LLC",,,,
05/16/2015,Maine,https://www.centralmaine.com/2015/09/05/wellness-connection-of-maine-recalls-two-strains-of-medical-marijuana/,Voluntary,42140MaineWellness Connection of Maine,Wellness Connection of Maine,,,,
2/17/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/MED%20Levity%20Advisory%2002192016_1_1.pdf,Mandatory,42417ColoradoHigh Mountain Medz LLC,High Mountain Medz LLC,,"Off-Label Pesticides, Myclobutanil and Imidacloprid,",,
2/17/2016,Colorado,https://sbg.colorado.gov/sites/sbg/files/MED%20Dr.%20Releaf%20Advisory%2002192016_1_1.pdf,Mandatory,42417ColoradoDr Releaf Inc,Dr Releaf Inc,,,,
