Brand,Associated Brand
Curaleaf,Curaleaf
"Green Thumb, Inc (GTI)",
Trulieve,Trulieve
Verano,Verano
Cresco,Cresco
Curaleaf,Select
"Green Thumb, Inc (GTI)",Rise
Trulieve,Zen Leaf
Verano,Verano
Cresco,Sunnyside
Curaleaf,Select
"Green Thumb, Inc (GTI)",RYTHM
"Green Thumb, Inc (GTI)",Dogwalkers
"Green Thumb, Inc (GTI)",Incredibles
"Green Thumb, Inc (GTI)",BeBoe
"Green Thumb, Inc (GTI)",Good Green
"Green Thumb, Inc (GTI)",Doctor Solomon's 
"Green Thumb, Inc (GTI)",Shine
Verano,Zen Leaf
Verano,MuV
Verano,Avexia
Verano,Bits
Verano,Savvy
Verano,Encore
Verano,Vital
Curaleaf,Grass Roots
Curaleaf,Find
Curaleaf,Jams
Curaleaf,Zero Proof
Curaleaf,B Noble
Curaleaf,Plant Precision
Trulieve,Alchemy
Trulieve,Avenue
Trulieve,Co2lors
Trulieve,Cultivar
Trulieve,Loveli
Trulieve,Modern Flower
Trulieve,Momenta
Trulieve,Muse
Trulieve,Roll One
Trulieve,Sweet Talk
Trulieve,Trekkers
Trulieve,Alien Labs (partner)
Trulieve,Bhang (partner)
Trulieve,Binske(partner)
Trulieve,Black Tuna (partner)
Trulieve,Blue River (partner)
Trulieve,Connected (partner)
Trulieve,DeLisioso (partner)
Trulieve,Khalifa Kush
Trulieve,Love's Oven (partner)
Trulieve,Miami Mango (partner)
Trulieve,O.pen (partner)
Trulieve,Old Hippie Stash (partner)
Trulieve,Seed Junky (partner)
Trulieve,Sunshine Cannabis (partner)
CannTech,Ayr Wellness
"Buckeye Relief LLC,",Wana
Wana,Wana
