Reason,Pesticides
Pyrethrins and Piperonyl butoxide,Pyrethrins
Pyrethrins and Piperonyl butoxide,Piperonyl butoxide
Abamectin,Abamectin
Bifenthrin and Chlorfenapyr,Bifenthrin
Bifenthrin and Chlorfenapyr,Chlorfenapyr
myclobutanil and etoxazole,Myclobutanil
myclobutanil and etoxazole,Etoxazole
imidacloprid and myclobutanil,Myclobutanil
imidacloprid and myclobutanil,Imidacloprid
"permethrin, spiromesifen",spiromesifen
"permethrin, spiromesifen",permethrin
malathion,malathion
Ethephon,Ethephon
unspecified pesticide,Unspecified
Diuron,Diuron
Bifenthrin and Diuron,Bifenthrin
Bifenthrin and Diuron,Diuron
Pyriproxyfen,Pyriproxyfen
"Myclobutanil, Bifenazate, Avermectin, and Imidacloprid",Myclobutanil
"Myclobutanil, Bifenazate, Avermectin, and Imidacloprid",Bifenazate
"Myclobutanil, Bifenazate, Avermectin, and Imidacloprid",Avermectin
"Myclobutanil, Bifenazate, Avermectin, and Imidacloprid",Imidacloprid
"Pyrimethanil, Tebuconazole, and Spinosyn",Pyrimethanil
"Pyrimethanil, Tebuconazole, and Spinosyn",Tebuconazole
"Pyrimethanil, Tebuconazole, and Spinosyn",Spinosyn
"Imidacloprid, Spiromesifin, Myclobutanil, and Avermectin",Imidacloprid
"Imidacloprid, Spiromesifin, Myclobutanil, and Avermectin",Myclobutanil
"Imidacloprid, Spiromesifin, Myclobutanil, and Avermectin",Avermectin
"Imidacloprid, Spiromesifin, Myclobutanil, and Avermectin",Spiromesifin
Myclobutanil and Spinosyn,Myclobutanil
Myclobutanil and Spinosyn,Spinosyn
Propiconazole,Propiconazole
Myclobutanil and Spiromesifin,Myclobutanil
Myclobutanil and Spiromesifin,Spiromesifin
Myclobutanil,Myclobutanil
Azoxystrobin and Imidacloprid,Azoxystrobin
Azoxystrobin and Imidacloprid,Imidacloprid
Spiromesifin,Spiromesifin
Etoxazole,Etoxazole
